id,name,cityName,stateCode,postalCodeNumber,address,phoneNumber,websiteUrl,orgPackageTypeName,scraped_metro,latitude,longitude,companyPageUrl,logoUrl,google_rating,google_review_count,google_address
147086,Church Of Mod,Fort Lauderdale,FL,33309,,(305) 776-4425,,Basic,Miami / Fort Lauderdale / West Palm Beach,26.188293,-80.170448,,https://picturescdn.estatesales.net/orglogos/147086/637637736168475085.jpg,5,280,"1100 SW 21st St, Fort Lauderdale, FL 33315, USA"
123701,Cash From Treasures,Dania,FL,33004,,(954) 559-7911,,Silver,Miami / Fort Lauderdale / West Palm Beach,26.063048,-80.137732,/companies/FL/Dania/33004/123701,,5,101,"2836 Stirling Rd, Hollywood, FL 33020, USA"
141101,Coastal Legacy LLC,Milton,FL,32571,,(850) 400-3990,http://www.coastallegacysales.com,Basic,Pensacola,30.664458,-87.199242,,https://picturescdn.estatesales.net/orglogos/141101/637068460453620415.jpg,5,76,"500 E New York Ave Suite 101, DeLand, FL 32724, USA"
157319,Organized Haven - Maxsold,Lakeland,FL,33805,2372 Old Combee Rd. #103,(863) 268-4041,http://www.organizedhaven.com,Basic,Lakeland / Winter Haven,28.094722,-81.945372,,https://picturescdn.estatesales.net/orglogos/157319/638317572869249934.jpg,5,68,"1522 Shore Acres Dr, Lakeland, FL 33801, USA"
157502,Venice Estate Buyers And Sales,Venice,FL,34285,209 Miami Ave W,(941) 313-3772,https://www.veniceestatesales.com,Gold,Sarasota / Bradenton,27.091088,-82.429966,/companies/FL/Venice/34285/157502,https://picturescdn.estatesales.net/orglogos/157502/638757541283221609.jpg,5,50,"209 Miami Ave W, Venice, FL 34285, USA"
12773,A-1 Estate Sales,Titusville,FL,32796,,(815) 263-5395,,Basic,Melbourne,28.604976,-80.893774,,https://picturescdn.estatesales.net/orglogos/12773/636325405802195629.jpg,5,49,"Titusville Titusville, Titusville, FL 32796, USA"
144920,Williams And Williams Estate Sales,Titusville,FL,32796,3075 Rosemarie Drive,(321) 603-8084,,Silver,Melbourne,28.604976,-80.893774,/companies/FL/Titusville/32796/144920,https://picturescdn.estatesales.net/orglogos/144920/637487360567855458.jpg,5,49,"Titusville Titusville, Titusville, FL 32796, USA"
154469,Florida's Finest Estate Sale Company,Melbourne,FL,32940,,(321) 419-2346,http://www.floridasfinestestatesaleco.com,Gold,Melbourne,28.223774,-80.709776,/companies/FL/Melbourne/32940/154469,https://picturescdn.estatesales.net/orglogos/154469/638186450825874231.jpg,5,49,"Titusville Titusville, Titusville, FL 32796, USA"
117983,"Best Wishes Estate Sales,LLC",Lake Mary,FL,32746,,(689) 316-7493,,Basic,Orlando,28.761566,-81.353668,,https://picturescdn.estatesales.net/orglogos/117983/638826954237252947.jpg,5,49,"Titusville Titusville, Titusville, FL 32796, USA"
171443,Palm Beach Estate Sale,Fort Lauderdale,FL,33331,,(561) 485-3313,,Silver,Miami / Fort Lauderdale / West Palm Beach,26.065832,-80.370922,/companies/FL/Fort-Lauderdale/33331/171443,https://picturescdn.estatesales.net/orglogos/171443/639063498255942886.jpg,5,37,"2201 Prospect Rd #200, Fort Lauderdale, FL 33309, USA"
